ts,Open,High,Low,Close,Volume
2026-06-01 05:46:00+00:00,7616.75,7617.0,7616.75,7617.0,97
2026-06-01 05:47:00+00:00,7617.0,7617.75,7617.0,7617.5,155
2026-06-01 05:48:00+00:00,7617.5,7618.25,7617.5,7618.25,152
2026-06-01 05:49:00+00:00,7618.0,7618.75,7618.0,7618.5,111
2026-06-01 05:50:00+00:00,7618.5,7618.5,7617.5,7617.75,109
2026-06-01 05:51:00+00:00,7618.0,7619.0,7618.0,7619.0,159
2026-06-01 05:52:00+00:00,7619.0,7619.0,7618.0,7618.0,135
2026-06-01 05:53:00+00:00,7618.0,7618.0,7617.75,7618.0,107
2026-06-01 05:54:00+00:00,7618.25,7618.25,7617.75,7617.75,38
2026-06-01 05:55:00+00:00,7618.0,7618.0,7617.75,7617.75,34
2026-06-01 05:56:00+00:00,7618.0,7618.5,7618.0,7618.25,61
2026-06-01 05:57:00+00:00,7618.0,7618.25,7617.5,7618.25,156
2026-06-01 05:58:00+00:00,7618.0,7618.0,7617.75,7617.75,44
2026-06-01 05:59:00+00:00,7618.0,7618.0,7617.75,7617.75,47
2026-06-01 06:00:00+00:00,7618.0,7618.5,7617.75,7618.5,130
2026-06-01 06:01:00+00:00,7618.25,7618.5,7618.0,7618.25,114
2026-06-01 06:02:00+00:00,7618.5,7618.75,7618.25,7618.75,119
2026-06-01 06:03:00+00:00,7618.75,7618.75,7618.0,7618.0,77
2026-06-01 06:04:00+00:00,7618.0,7618.25,7617.75,7617.75,65
2026-06-01 06:05:00+00:00,7617.5,7618.25,7617.5,7618.0,104
2026-06-01 06:06:00+00:00,7618.0,7618.25,7617.75,7617.75,80
2026-06-01 06:07:00+00:00,7617.75,7618.25,7617.75,7617.75,85
2026-06-01 06:08:00+00:00,7617.75,7618.25,7617.75,7618.0,122
2026-06-01 06:09:00+00:00,7618.25,7618.25,7617.75,7618.25,89
2026-06-01 06:10:00+00:00,7618.25,7618.25,7617.75,7618.0,81
2026-06-01 06:11:00+00:00,7618.25,7618.25,7617.75,7618.25,102
2026-06-01 06:12:00+00:00,7618.0,7618.0,7617.5,7617.75,74
2026-06-01 06:13:00+00:00,7617.75,7617.75,7617.25,7617.25,49
2026-06-01 06:14:00+00:00,7617.25,7617.5,7616.75,7617.5,182
2026-06-01 06:15:00+00:00,7617.5,7617.75,7616.75,7617.0,205
2026-06-01 06:16:00+00:00,7616.75,7617.25,7616.75,7617.0,145
2026-06-01 06:17:00+00:00,7617.0,7617.0,7616.5,7616.75,62
2026-06-01 06:18:00+00:00,7616.75,7617.25,7616.25,7617.0,200
2026-06-01 06:19:00+00:00,7617.25,7617.5,7617.0,7617.25,52
2026-06-01 06:20:00+00:00,7617.25,7617.25,7616.75,7617.25,204
2026-06-01 06:21:00+00:00,7617.25,7617.5,7617.25,7617.25,48
2026-06-01 06:22:00+00:00,7617.25,7617.25,7616.5,7617.0,89
2026-06-01 06:23:00+00:00,7616.75,7617.0,7616.75,7617.0,79
2026-06-01 06:24:00+00:00,7617.0,7617.0,7616.25,7616.25,77
2026-06-01 06:25:00+00:00,7616.25,7616.25,7615.0,7615.5,332
2026-06-01 06:26:00+00:00,7615.25,7615.5,7614.25,7615.25,186
2026-06-01 06:27:00+00:00,7615.0,7615.5,7615.0,7615.25,130
2026-06-01 06:28:00+00:00,7615.0,7616.0,7615.0,7615.75,91
2026-06-01 06:29:00+00:00,7615.75,7615.75,7614.25,7614.5,302
2026-06-01 06:30:00+00:00,7614.5,7615.5,7614.25,7615.5,195
2026-06-01 06:31:00+00:00,7615.25,7616.0,7615.25,7615.75,201
2026-06-01 06:32:00+00:00,7615.75,7617.0,7615.75,7616.75,184
2026-06-01 06:33:00+00:00,7616.75,7617.0,7616.5,7617.0,120
2026-06-01 06:34:00+00:00,7617.0,7617.25,7617.0,7617.0,72
2026-06-01 06:35:00+00:00,7617.0,7617.5,7617.0,7617.0,218
2026-06-01 06:36:00+00:00,7617.0,7617.0,7616.25,7616.5,266
2026-06-01 06:37:00+00:00,7616.75,7617.0,7616.25,7616.5,106
2026-06-01 06:38:00+00:00,7616.75,7617.0,7616.75,7616.75,39
2026-06-01 06:39:00+00:00,7616.5,7616.5,7615.5,7616.0,92
2026-06-01 06:40:00+00:00,7615.75,7616.5,7615.75,7616.0,109
2026-06-01 06:41:00+00:00,7616.0,7616.25,7615.25,7616.0,83
2026-06-01 06:42:00+00:00,7616.0,7616.25,7615.75,7615.75,53
2026-06-01 06:43:00+00:00,7615.75,7616.25,7615.25,7616.25,224
2026-06-01 06:44:00+00:00,7616.25,7616.75,7616.0,7616.5,69
2026-06-01 06:45:00+00:00,7616.5,7616.75,7616.25,7616.75,124
2026-06-01 06:46:00+00:00,7616.75,7617.5,7616.75,7617.0,334
2026-06-01 06:47:00+00:00,7617.0,7617.0,7616.0,7616.75,295
2026-06-01 06:48:00+00:00,7616.75,7617.75,7616.75,7617.75,146
2026-06-01 06:49:00+00:00,7617.5,7618.5,7617.25,7618.5,232
2026-06-01 06:50:00+00:00,7618.25,7618.5,7617.25,7617.25,142
2026-06-01 06:51:00+00:00,7617.25,7618.0,7617.25,7617.75,234
2026-06-01 06:52:00+00:00,7617.75,7617.75,7617.5,7617.5,78
2026-06-01 06:53:00+00:00,7617.5,7618.5,7617.5,7618.25,138
2026-06-01 06:54:00+00:00,7618.25,7618.25,7617.75,7617.75,117
2026-06-01 06:55:00+00:00,7617.5,7618.25,7617.25,7618.0,175
2026-06-01 06:56:00+00:00,7618.0,7618.5,7618.0,7618.25,62
2026-06-01 06:57:00+00:00,7618.0,7618.25,7617.75,7618.0,88
2026-06-01 06:58:00+00:00,7618.0,7618.0,7617.5,7617.5,62
2026-06-01 06:59:00+00:00,7617.5,7618.0,7617.25,7617.5,223
2026-06-01 07:00:00+00:00,7617.75,7617.75,7616.25,7617.75,661
2026-06-01 07:01:00+00:00,7617.75,7618.5,7617.25,7618.5,407
2026-06-01 07:02:00+00:00,7618.25,7619.0,7618.0,7618.5,319
2026-06-01 07:03:00+00:00,7618.5,7620.0,7618.5,7619.5,481
2026-06-01 07:04:00+00:00,7619.5,7620.0,7619.5,7619.75,212
2026-06-01 07:05:00+00:00,7619.5,7620.5,7618.75,7618.75,958
